system,train_variant,dataset,threshold,macro_f1,enrichable_f1,corpus_f1,corpus_prec,corpus_rec,fp_rate,n_enrichable,n_total_plans,avg_iterations
LLM direct,—,CaptainCook,0.7,0.2819,0.4229,0.3973,0.2959,0.6042,0.2257,14,21,
LLM inverted,—,ProScript,0.35,0.1621,0.3781,0.1875,0.1037,0.9783,0.9828,39,91,
LLM inverted,—,ProScript,0.4,0.1594,0.372,0.1849,0.1023,0.9565,0.9736,39,91,
LLM inverted,—,ProScript,0.45,0.1532,0.3575,0.1763,0.0979,0.8913,0.953,39,91,
LLM inverted,—,ProScript,0.5,0.1471,0.3433,0.1733,0.0965,0.8478,0.9221,39,91,
LLM inverted,—,ProScript,0.55,0.1402,0.3271,0.1694,0.095,0.7826,0.8678,39,91,
LLM inverted,—,ProScript,0.6,0.1404,0.3276,0.1675,0.0944,0.7391,0.8217,39,91,
LLM inverted,—,ProScript,0.65,0.1345,0.3139,0.1675,0.0952,0.6957,0.766,39,91,
LLM inverted,—,ProScript,0.7,0.1082,0.2524,0.1471,0.085,0.5435,0.6814,39,91,
LLM inverted,—,CaptainCook,0.35,0.2297,0.3446,0.2588,0.1486,1.0,1.0,14,21,
LLM inverted,—,CaptainCook,0.4,0.2297,0.3446,0.2588,0.1486,1.0,1.0,14,21,
LLM inverted,—,CaptainCook,0.45,0.2297,0.3446,0.2588,0.1486,1.0,1.0,14,21,
LLM inverted,—,CaptainCook,0.5,0.2238,0.3357,0.2541,0.146,0.9792,1.0,14,21,
LLM inverted,—,CaptainCook,0.55,0.2173,0.326,0.2411,0.1388,0.9167,0.9929,14,21,
LLM inverted,—,CaptainCook,0.6,0.2095,0.3142,0.2316,0.134,0.8542,0.964,14,21,
LLM inverted,—,CaptainCook,0.65,0.1682,0.2522,0.1835,0.1075,0.625,0.9178,14,21,
LLM inverted,—,CaptainCook,0.7,0.1237,0.1855,0.1392,0.0844,0.3958,0.7743,14,21,
